# Source: ChEMBL 37 - CC BY-SA 3.0 -- https://www.ebi.ac.uk/chembl
,chembl_n_compounds
VDR,562
MAP3K7,38
CAMK2D,426
TET3,48
TOP2A,373
BTK,9798
SRPK3,33
CYNT,0
AKR1C4,109
PTPRS,30
ROS1,383
SHBG,98
STK38L,14
REP,4042
MTCA1,0
PIK3C3,688
ATP5A1,2
OPRL1,2736
RPL10L,0
TBXA2R,1228
RIPK4,23
METTL3,766
GART,116
STK35,24
SPHK2,285
TMPRSS4,29
NPEPL1,41
DPP4,4421
TRAI,3186
P2RX3,5020
WAS,1822
GRK3,43
TLK2,99
SOS1,1006
STING1,1147
RGS17,5
CDK13,101
TNK2,799
DUSP3,523
RPSS,0
CA6,417
ADRB1,1627
FLT3,4435
DNAK,0
NORA,4042
PIP4K2B,59
SBK3,17
MAP2K3,34
EHMT1,199
POLD3,1
PLCG1,80
CYP2D6,8883
IP6K2,59
FAAH,1983
INSR,948
GRIK2,33
JAK3,7463
CTRC,135
PTGIR,391
BRAF,5753
RPLN,0
TLK1,19
CAPN1,661
RPSE,0
MYT1,175
FGFR4,2126
NR1I2,956
UBA6,10
GRIA1,328
TXN2,148
PTK2B,381
PDE4B,2388
CES2,262
PKN2,375
FPGS,28
DYRK1A,4088
TAOK1,481
IL1B,3615
SMO,1
ROCK2,5407
WASL,0
ETFB,2
PSMD7,2
ERAP2,227
MAP3K11,214
CAMKK1,54
PPO3,0
PRKCD,976
BMX,319
GROL,0
HTT,5671
PRKCH,242
LOXL4,7
CYP19A1,2991
DCLK3,35
BCL2,106
AGTR1,1237
CCKBR,1527
STK38,14
JAK2,12711
DHFRP1,0
TAB1,38
NEK5,19
TDP1,12277
BCR,60
ADORA1,5173
STK10,179
PSMA1,4
SLC46A1,37
LVRN,0
MAOA,3258
PRKCB,730
SCNN1A,42
ABCG2,1338
SNRK,6
CLK1,975
ALDH1A1,75664
EPHA7,53
CRBN,437
SLC19A1,26
HSD17B2,671
BRSK1,236
PTCH1,0
S1PR3,1561
POL,64
ATP2A1,9
DCTPP1,177
BRSK2,21
DNPEP,6
P2RY10,55
CSNK2B,177
CRK2,0
TRPV4,614
TNNI3K,240
CDK8,678
S,313
RPS6KB2,19
METAP1D,0
KDM1A,3950
CISD1,86
CATSPER2,0
PSMB7,3
MYO3A,13
PIP4K2C,189
RPL8,2
GBA,944
CCNT2,2
HSD17B1,624
NSD2,933
GNPTAB,0
SLC47A1,50
RPSR,0
NR3C1,3133
GRK6,179
MUSK,32
CDPK1,0
BAZ2A,107
TLR9,3652
ALOX5,2375
RPMJ,0
PSMB6,138
MPL,1
M6PR,16
FOLH1,547
GNRHR,1588
CTNNB1,190
RPL37,1
MTR,142
CAMK1,104
NR1D1,110
CDK4,1427
MTNR1A,1083
PTPMT1,2
MAPK14,5096
DLAT,3
NEK2,438
RPLT,0
NISCH,184
P2RX4,298
NR1H2,1362
CDK16,68
NEK10,2
PNP,41
MAPK8,1917
ADRB3,1644
SPHK1,387
CRHR2,56
AOPEP,0
STK11,23
RPSF,0
CSNK2A2IP,0
RPSI,0
MAPKAPK5,97
CSNK1A1L,19
CTSH,36
CHD1,55
MDH1,28
NAPRT,23
KCNJ4,1
CDK12,158
QPCT,1025
PARP2,818
TRPC5,182
XPO1,147
MMP14,858
GLO1,205
MAPK3,337
LYN,70
TGFBR2,439
PIK3CD,7186
DBH,38
ENPEP,62
CBR1,22
CCR1,799
CAMK1G,27
KCTD8,0
CDK5,31
PNMT,200
BLM,2558
TOP1MT,0
LTA4H,1066
TYMS,637
CCNA2,11
IRAK3,77
NPEPPS,39
LOXL3,26
ABL2,150
RPSO,0
CA5B,559
FECH,38
NTRK1,4940
PIK3C2G,49
GRM3,176
NOX4,170
ACHE,6247
MKNK2,1711
RIPK1,4038
FOLR1,66
RPSH,0
ARF1,1
PSMC2,2
TNKS,1063
TTK,1369
HEXA,469
MYLK,137
IDO1,3682
TNF,1876
FLT1,1483
GSR,86
CYP2E1,104
GAK,57
LATS1,324
CAPNS1,1
RPLO,0
CDK10,4
ZNF215,0
BCL2L1,1612
CSNK2A1,952
NR1H3,1209
KCNS3,0
MAPK13,212
NFE2L2,620
CAMKK2,179
MYLK2,38
PRKCI,621
PTK6,307
SLCO1B3,124
TOP1,448
HLA-A,159
PSMC1,2
GRK4,37
TEC,148
RPLJ,0
ADORA3,5253
HDA106,0
CSNK1G3,187
KMT2A,17209
CA7,1586
AOX1,20
HIPK3,59
NEK6,32
PEAK1,2
MAP2K4,150
GRIA3,27
BAZ2B,89
DYRK1B,994
BLAACC-4,0
PAK6,30
PSMD12,2
HMOX1,23
RPLC,0
HTR5A,389
PDE4C,262
RPS6KA2,351
