,cns_expressed
PRIM2,1
MGLL,1
S1PR2,1
PRDX5,1
PSMB4,1
SNRK,1
CDK11A,1
SLC47A1,1
HTR2C,1
RPSF,0
PTPMT1,1
BCL2L10,0
TSSK3,0
DDR1,1
SCN1A,1
PIP4K2C,1
PSMA2,1
US28,0
IGF2R,1
GCGR,1
FARSB,1
TERT,0
TLR9,0
PTGS1,1
SHBG,0
AGTR1,1
EPHB2,1
CA13,0
NCOR2,1
CYP1A2,0
TOP1,1
MAPK7,1
KCNQ3,1
SOS1,1
NPEPL1,1
PTPN6,1
PSMC6,1
PHOSPHO1,1
GLRB,1
VDR,0
THYA,0
SLC2A4,1
DCTPP1,1
PAH,1
ACVR1B,1
CDK6,1
MAP4K3,1
SPTSSB,1
MAP3K1,1
KCNC3,1
DNMT1,1
ARAF,1
STK26,1
CDC42BPB,1
SELE,0
SGK3,1
CRK2,0
DBF4,1
PIP4K2B,1
GLRA2,1
TEK,1
PSMD11,1
HTR3B,1
MAK,0
ADCK5,1
RARB,1
POLD2,1
CLK4,1
PARP1,1
TNK1,1
CSNK2A2IP,0
DRD4,1
PLA2G2E,0
ADRB2,1
GABRA3,1
STK10,1
AKT2,1
MAP3K4,1
TET3,1
KCNH2,1
PNLIP,0
CILK1,1
ATP4B,0
FECH,1
PDIA6,1
TAOK2,1
EIF2AK4,1
PPARG,1
ROCK2,1
STK16,1
AURKC,0
CALY,1
CRHR2,1
RPSA,1
BTK,1
NAE1,1
PRKX,1
MYLK,1
RPLX,0
RPSR,0
CYP1B1,1
HRH2,1
PDGFRA,1
KIF11,1
IDH1,1
CDK8,1
PSMD4,1
BLAACC-4,0
MMP12,0
PRNP,1
CHRM4,1
SRMS,0
LATS2,1
MAP4K4,1
RPL23A,1
APRT,1
FOLR2,1
RPSL,0
LNPEP,1
SBK1,1
MARK4,1
CACNA1D,1
HMOX2,1
HDAC2,1
STK32B,1
SIRT7,1
RPLV,0
MYO3A,1
STK25,1
PSMD3,1
CSNK2A2,1
GRIN3B,0
FOLH1,1
EPHA6,1
RIPK1,1
CXCR4,1
ESR2,0
IL1B,0
AKR1B1,1
BCHE,1
INS,0
CSNK1G3,1
MAPK1,1
SIGMAR1,1
PTPN1,1
ADRB1,1
ATP5A1,1
ADAM17,1
CASP7,1
CATSPER4,0
STK38L,1
IRAK4,1
ULK3,1
EPHB3,1
GNPTAB,1
SCN5A,1
METAP1,1
CYP2B6,0
XIAP,1
CMA1,0
AKT3,1
SIK2,1
GPX4,1
ADRA2B,1
TEAD4,1
MTNR1A,0
STK33,1
KCTD8,1
CTSB,1
GABRG1,1
HSD11B1,1
NUAK2,1
CAPNS1,1
S1PR3,1
RPL8,1
GRK5,1
RPL19,1
MUS81,1
USP7,1
MAP2K3,1
PSMB9,1
BAX,1
RPLN,0
SLCO1B3,0
ELAVL3,1
TACR2,1
SBK3,0
PRKAB1,1
MAST1,1
IRAK3,1
GABRB1,1
UBA6,1
EPHA4,1
CTRL,0
MYLK3,1
LEF,0
ROS1,1
ESR1,1
ERCC2,1
SLC47A2,0
CHEK2,1
SULT1A1,1
SSTR5,0
NOS3,1
EGFR,1
GABBR1,1
TYR,0
HRH4,0
APP,1
DNM1,1
AVPR1A,1
TAOK3,1
DUSP6,1
ERN2,0
MAP3K10,1
STK11,1
SIRT3,1
BAZ2B,1
SLC2A1,1
SLK,1
PSMB2,1
CAMK2D,1
SUP35,0
FAAH,1
TET1,1
SCARB1,1
HDAC8,1
OGFR,1
EPHX2,1
LRRK1,1
BLM,1
HTR1A,1
SCNN1A,1
PTK2B,1
CLK1,1
AHR,1
BRSK1,1
BCL9,1
ALK,1
POLE,1
RPMI,0
KCNE2,0
MAPK9,1
EPHA8,1
CYP2J2,1
HRH3,1
KCNA3,1
TGFB1,1
CAMK1D,1
ACVR1,1
RPOA,0
CSNK1E,1
PASK,1
KCNQ2,1
LONP1,1
HDAC3,1
CRHR1,1
OPRD1,1
MAP3K3,1
NOD1,1
RRM2B,1
SPHK2,1
RIDA,1
CA4,1
MYLK2,0
STK39,1
UBA1,1
ADRA2A,1
TXN,1
RARA,1
LOXL2,1
CCDC6,1
KCNQ5,1
CCNA1,1
CDPK1,0
HSPE1,1
FLT3,1
GRIN2D,1
KCNE4,1
RIPK3,1
CAMKK2,1
MAP2K5,1
ALDH1A1,1
TYRO3,1
NCOR1,1
CAMK1,1
NTSR1,1
DAPK1,1
TOP1MT,1
LTK,1
DHFRP1,0
TDP2,1
ALPL,1
EIF2AK1,1
BCL2L1,1
ADAMTS5,1
CAPN2,1
PSMD2,1
DHODH,1
ETHR,0
NR1H3,1
NEK6,1
CTSC,1
QPCT,1
PRMT3,1
OXTR,1
SENP2,1
SLC6A4,0
CTRC,0
ABCG2,1
CDK15,0
SLC28A2,0
ADCK1,1
HEXB,1
DCLK3,1
PAK4,1
CCND1,1
DBH,0
BRAF,1
PTGS2,1
HTR2B,0
HTR5B,0
CAPN9,1
IKBKG,1
RPSJ,0
ADRA1A,1
NR1H2,1
MEX-5,0
S1PR4,0
HDAC6,1
MKNK2,1
KCNE1,0
EDNRB,1
PEPD,1
WAS,1
KCNE3,1
DUSP3,1
MAP3K2,1
FGR,1
TOP1B,0
CACNB2,1
GROS,0
MCL1,1
TRPM8,1
RPS6KA2,1
CSK,1
NR3C1,1
SIRT2,1
IMPDH2,1
MUSK,0
ICAM1,1
WRN,1
STAT5B,1
KDR,1
ESRRG,1
PIK3CD,1
MAPK12,1
NLK,1
CDK2,1
SLC2A3,1
NTRK1,0
BAD,1
TNKS,1
CCND3,1
TNKS2,1
SLC22A8,1
IDO1,0
SLC10A1,0
MMP3,1
IP6K2,1
PKN1,1
TLK2,1
INHA,1
PI4KB,1
LRRK2,1
RPS6KA4,1
P2RX4,1
HTR7,0
GRIN2C,1
CCNE2,1
CDK17,1
LYN,1
ABCB1,1
PSMD7,1
PHGDH,1
IMPDH1,1
PTGR1,1
CSNK2A1,1
HSF1,1
HTR3A,0
MAP3K12,1
RPMC,0
MTCA1,0
MAP2K7,1
PPO3,0
MST1,1
SMO,1
AVPR2,0
CA6,0
ALOX12,0
LPDC,0
MAP3K19,0
PTPN11,1
PSMC1,1
PIK3C3,1
GPR55,0
STK4,1
ATP6V1A,1
RPSM,1
MERTK,1
TLR4,1
PRKAA2,1
METTL3,1
CA5B,1
CAMKK1,1
P2RY10,0
RPSP,0
MNAT1,1
MAP2K2,1
SIK3,1
GHSR,0
NPEPPS,1
PDGFRB,1
TOP2A,1
KIT,1
GRM3,1
RPMH,0
WASL,1
CAMK2G,1
PRKCB,1
CYP11B2,0
HDAC5,1
CCKAR,0
CTS1,1
PNMT,1
SLC19A1,1
ACE,1
FNTA,1
RPLF,0
CHRM1,1
CAPN1,1
CASK,1
DDC,1
DYRK1A,1
BCL2,1
ERAP2,1
TRPC5,1
METAP2,1
CA9,1
GRIN2A,1
NEK4,1
P2RX3,0
DNAK,1
MDM2,1
ACVR1C,1
PRKD2,1
TAC1,1
SLC16A1,1
RPLT,0
GRB2,1
NEDD8,1
RNPEPL1,1
